family,scenario_id,label,status,summary_source,sample_count,replicas,unsupported_replicas,unsupported_evidence_kinds,request_count_mean,request_count_min,request_count_max,request_count_cv_percent,failure_count_mean,failure_count_min,failure_count_max,failure_count_cv_percent,mean_response_time_ms_mean,mean_response_time_ms_min,mean_response_time_ms_max,mean_response_time_ms_cv_percent,p50_response_time_ms_mean,p50_response_time_ms_min,p50_response_time_ms_max,p50_response_time_ms_cv_percent,p95_response_time_ms_mean,p95_response_time_ms_min,p95_response_time_ms_max,p95_response_time_ms_cv_percent,p99_response_time_ms_mean,p99_response_time_ms_min,p99_response_time_ms_max,p99_response_time_ms_cv_percent,throughput_rps_mean,throughput_rps_min,throughput_rps_max,throughput_rps_cv_percent,max_node_cpu_percent_mean,max_node_memory_percent_mean,mean_latency_delta_vs_reference_percent,throughput_delta_vs_reference_percent
worker-count,W1,W1 (1 worker),measured,measurement_csv,3,"A,B,C",,,101.6667,101,102,0.4637,0,0,0,0.0,1507.3645,1499.9631,1522.1153,0.692,1500.0,1500.0,1500.0,0.0,1600.0,1600.0,1600.0,0.0,1700.0,1700.0,1700.0,0.0,0.5709,0.5685,0.5722,0.3015,33.6667,37.3333,0.2168,-0.105
worker-count,W2,W2 (2 worker),measured,measurement_csv,3,"A,B,C",,,102,102,102,0.0,0,0,0,0.0,1504.1032,1496.2807,1509.4204,0.3756,1500.0,1500.0,1500.0,0.0,1600.0,1600.0,1600.0,0.0,1700.0,1700.0,1700.0,0.0,0.5715,0.5708,0.5728,0.1574,34.6667,37.3333,0.0,0.0
worker-count,W3,W3 (3 worker),unsupported_under_current_constraints,none,0,,"A,B,C","failed_scheduling,insufficient_cpu,insufficient_memory,no_preemption_victims_found,node_affinity_selector_mismatch,pending_pod,preemption_not_helpful",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
worker-count,W4,W4 (4 worker),unsupported_under_current_constraints,none,0,,"A,B,C","failed_scheduling,insufficient_cpu,insufficient_memory,no_preemption_victims_found,node_affinity_selector_mismatch,pending_pod,preemption_not_helpful",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
workload,WL1,"WL1 (1 users, spawn 1)",measured,measurement_csv,3,"A,B,C",,,52,52,52,0.0,0,0,0,0.0,1457.786,1452.9482,1462.9397,0.2802,1466.6667,1400.0,1500.0,3.2141,1500.0,1500.0,1500.0,0.0,1533.3333,1500.0,1600.0,3.0744,0.2918,0.2914,0.2922,0.1119,17.3333,37.3333,-2.3875,-49.0928
workload,WL2,"WL2 (2 users, spawn 1)",measured,measurement_csv,3,"A,B,C",,,102.3333,102,103,0.4607,0,0,0,0.0,1493.4422,1491.8897,1496.0013,0.1221,1500.0,1500.0,1500.0,0.0,1600.0,1600.0,1600.0,0.0,1700.0,1700.0,1700.0,0.0,0.5732,0.5728,0.5734,0.0458,34.6667,37.3333,0.0,0.0
workload,WL3,"WL3 (4 users, spawn 2)",measured,measurement_csv,3,"A,B,C",,,135,135,135,0.0,0,0,0,0.0,3269.6865,3262.0408,3276.2063,0.1785,3300.0,3300.0,3300.0,0.0,3300.0,3300.0,3300.0,0.0,3633.3333,3400.0,3800.0,4.678,0.7559,0.755,0.7569,0.1038,50.0,37.0,118.9363,31.8737
models,M1,M1 (llama-3.2-1b-instruct:q4_k_m),measured,measurement_csv,3,"A,B,C",,,102,102,102,0.0,0,0,0,0.0,1497.1326,1491.9584,1503.3829,0.3156,1500.0,1500.0,1500.0,0.0,1600.0,1600.0,1600.0,0.0,1700.0,1700.0,1700.0,0.0,0.5725,0.5715,0.5733,0.1325,34.0,37.6667,0.0,0.0
models,M2,M2 (llama-3.2-1b-instruct:q8_0),measured,measurement_csv,3,"A,B,C",,,106,106,106,0.0,0,0,0,0.0,1381.2175,1379.2741,1384.5865,0.1732,1400.0,1400.0,1400.0,0.0,1400.0,1400.0,1400.0,0.0,1500.0,1500.0,1500.0,0.0,0.5927,0.5922,0.593,0.0636,32.6667,35.0,-7.7425,3.5284
models,M3,M3 (llama-3.2-3b-instruct:q4_k_m),measured,measurement_csv,3,"A,B,C",,,49,49,49,0.0,0,0,0,0.0,5168.8147,5164.6984,5174.758,0.0833,5000.0,5000.0,5000.0,0.0,5100.0,5100.0,5100.0,0.0,9300.0,9200.0,9400.0,0.878,0.2782,0.278,0.2784,0.0611,52.0,43.0,245.2476,-51.4061
models,M4,M4 (llama-3.2-3b-instruct:q8_0),measured,measurement_csv,3,"A,B,C",,,56,56,56,0.0,0,0,0,0.0,4345.2143,4342.7554,4348.1586,0.0514,4300.0,4300.0,4300.0,0.0,4400.0,4400.0,4400.0,0.0,6400.0,6300.0,6600.0,2.2097,0.3146,0.3145,0.3147,0.03,52.0,52.0,190.2358,-45.048
placement,PL1,PL1 (colocated_sc_app_02),measured,measurement_csv,3,"A,B,C",,,102,102,102,0.0,0,0,0,0.0,1483.7526,1481.4639,1487.8068,0.1937,1500.0,1500.0,1500.0,0.0,1500.0,1500.0,1500.0,0.0,1633.3333,1600.0,1700.0,2.8862,0.5749,0.5742,0.5752,0.082,35.0,32.6667,0.0,0.0
placement,PL2,PL2 (distributed),measured,measurement_csv,3,"A,B,C",,,101,101,101,0.0,0,0,0,0.0,1538.3188,1534.4208,1540.7128,0.1807,1500.0,1500.0,1500.0,0.0,1600.0,1600.0,1600.0,0.0,1633.3333,1600.0,1700.0,2.8862,0.5656,0.5652,0.566,0.0583,21.0,33.6667,3.6776,-1.6177
